iso3,paese,regione,codice,nome,fonte,direzione,valore,anno,note
CZE,Repubblica Ceca,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
CZE,Repubblica Ceca,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,2.3,NA,NA
CZE,Repubblica Ceca,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,39.7,NA,NA
CZE,Repubblica Ceca,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,26.5,NA,NA
DNK,Danimarca,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
DNK,Danimarca,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,39.3472898827471,2021,da OECD SOCX TP31
DNK,Danimarca,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,60.652710117252894,2021,da OECD SOCX TP31
DNK,Danimarca,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,2.1,NA,NA
DNK,Danimarca,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,38.4,NA,NA
DNK,Danimarca,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,51,NA,NA
EST,Estonia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
EST,Estonia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
EST,Estonia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
EST,Estonia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,2.8,NA,NA
EST,Estonia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,51.2,NA,NA
EST,Estonia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,22.3,NA,NA
FIN,Finlandia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
FIN,Finlandia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,39.652506952968416,2021,da OECD SOCX TP31
FIN,Finlandia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,60.34743755646166,2021,da OECD SOCX TP31
FIN,Finlandia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,0.9,NA,NA
FIN,Finlandia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,43.8,NA,NA
FIN,Finlandia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,36.3,NA,NA
FRA,Francia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
FRA,Francia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
FRA,Francia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
FRA,Francia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,3.7,NA,NA
FRA,Francia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,34.9,NA,NA
FRA,Francia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,41.3,NA,NA
DEU,Germania,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
DEU,Germania,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
DEU,Germania,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
DEU,Germania,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,1.6,NA,NA
DEU,Germania,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,42,NA,NA
DEU,Germania,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,52.9,NA,NA
GRC,Grecia,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
GRC,Grecia,UE-27,P1,Quota in-kind su totale disabilita',OECD SOCX TP31,+,NA,NA,NA
GRC,Grecia,UE-27,P2,Quota cash su totale disabilita',OECD SOCX TP31,-,NA,NA,NA
GRC,Grecia,UE-27,O1,Tasso occupazione persone disab.,Eurostat hlth_dlm200,+,5.9,NA,NA
GRC,Grecia,UE-27,O2,Rischio poverta' persone disab.,Eurostat ilc_di04,-,23,NA,NA
GRC,Grecia,UE-27,O3,Tasso istituzionalizzazione disab.,ANED / EU-SILC,-,16.4,NA,NA
HUN,Ungheria,UE-27,S1,Riconoscimento giuridico Art.19,ANED Country Reports,+,NA,NA,NA
